big_title,sub_title,min_price,max_price,company,origin,car_type,img_src,engine,charger,emission,fuel,fuel_efficiency,occupancy,drive_type,gearshift
2020 코란도,1.5 가솔린 AWD,27540000.0,30840000.0,쌍용,국산,준중형,https://imgauto-phinf.pstatic.net/20201019_26/auto_1603070938474pNkQc_PNG/20201019102857_15qDGpVm.png?type=f152_110,I4,싱글터보,"1,497cc",가솔린,"자동10.1km/ℓ (4등급)
 ",5,풀타임4륜구동,자동6단
2021 K5 하이브리드,2.0 HEV,27540000.0,33650000.0,기아,국산,중형,https://imgauto-phinf.pstatic.net/20191212_194/auto_15761170425624FSFj_PNG/20191212111721_HDudvJiZ.png?type=f152_110,I4,자연흡기,"1,999cc","전기 , 가솔린",자동19.1~20.1km/ℓ (1등급),5,전륜구동,자동6단
2020 라페스타 EV,EV,27668677.68,27668677.68,현대,수입,중형,https://imgauto-phinf.pstatic.net/20191219_6/auto_1576731969699rQl9a_PNG/20191219140551_MJy4cahH.png?type=f152_110,,,,전기,,5,전륜구동,자동
2020 닛산 킥스 e-파워,1.2 HEV,27770372.0,27770372.0,닛산,수입,소형,https://imgauto-phinf.pstatic.net/20200518_2/auto_1589765487302XaNXG_PNG/20200518103115_MmfeIGo9.png?type=f152_110,I3,자연흡기,"1,198cc","전기 , 가솔린",,5,전륜구동,자동(CVT)
2019 밴더할 베니스,1.4 가솔린,27882124.0,27882124.0,밴더할,수입,스포츠카,https://imgauto-phinf.pstatic.net/20191017_129/auto_15712762073974MP4F_PNG/20191017103636_iEsOGWXT.png?type=f152_110,I4,싱글터보,"1,400cc",가솔린,,2,,자동6단
2020 미쓰비시 ASX,2.0 가솔린,27926824.8,27926824.8,미쓰비시,수입,소형,https://imgauto-phinf.pstatic.net/20191108_185/auto_1573192527939zeIC9_PNG/20191108145339_Fditjx03.png?type=f152_110,I4,자연흡기,"1,998cc",가솔린,,5,전륜구동,자동(CVT)
2019 피아트 124 스파이더,1.4,27932412.4,31061468.4,피아트,수입,스포츠카,https://imgauto-phinf.pstatic.net/20181212_118/auto_1544600758014SYJDU_PNG/20181212164556_Th2p0clG.png?type=f152_110,I4,싱글터보,"1,368cc",가솔린, ,2,후륜구동,"자동6단,수동6단"
2020 혼다 시빅 Si 쿠페,1.5 가솔린,27938000.0,27938000.0,혼다,수입,준중형,https://imgauto-phinf.pstatic.net/20190904_290/auto_1567580177739CCWaA_PNG/20190904155615_ppcomVc4.png?type=f152_110,l4,싱글터보,"1,498cc",가솔린,수동30.0mpg ,5,전륜구동,수동6단
2020 뷰익 앙코르 GX,1.2 가솔린,27938000.0,27938000.0,뷰익,수입,소형,https://imgauto-phinf.pstatic.net/20191112_208/auto_1573522803615UBDmS_PNG/20191112104000_zyh0jPB6.png?type=f152_110,I3,싱글터보,"1,198cc",가솔린,,5,전륜구동,자동6단
2020 혼다 시빅 Si,1.5 가솔린,27938000.0,27938000.0,혼다,수입,준중형,https://imgauto-phinf.pstatic.net/20190904_265/auto_1567573381306IhzIN_PNG/20190904140300_vOn8MGXQ.png?type=f152_110,l4,싱글터보,"1,498cc",가솔린,수동30.0mpg ,5,전륜구동,수동6단
